title,year,rating,genre,synopsis,sinopse_limpa,Cluster
Up: Altas Aventuras,2009,8.3,"Animação, Aventura, Comédia, Drama, Família","Carl Fredricksen, de 78 anos, viaja para a América do Sul com sua casa, inadvertidamente levando um menino com ele.",carl fredricksen 78 ano viaj amer sul cas inadvertid lev menin,Cluster 5
"M, o Vampiro de Dusseldorf",1931,8.3,"Mistério, Suspense","Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.",polic cidad alem nao conseg encontr assassin crianc outr crimin decid ajud cac human,Cluster 2
Cidadão Kane,1941,8.2,"Drama, Mistério","Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.",apo mort magnat industr editor jornal corr descobr signific ult palavr pronunci,Cluster 1
Nascido para Matar,1987,8.2,"Drama, Guerra",Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.,mar est unid not deshumaniz efeit guerr vietn coleg,Cluster 3
Um Corpo que Cai,1958,8.2,"Mistério, Romance, Suspense",Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.,expolic lut contr demoni enquant obcec mulh bonit,Cluster 2
O Fabuloso Destino de Amélie Poulain,2001,8.3,"Comédia, Romance","Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.",ameli parisi ingenu propri sens jus decid ajud pesso redor caminh descobr am,Cluster 1
Como Estrelas na Terra,2007,8.3,"Drama, Família","Um garoto de oito anos é acusado de ser problemático e preguiçoso, até que o novo professor de arte tem a paciência e compaixão para descobrir o verdadeiro problema por trás de suas lutas na escola.",garot oit ano acus problema preguic ate nov profes art pacienc compaixa descobr verd problem tra lut escol,Cluster 1
A Separação,2011,8.3,Drama,"Um casal é confrontado com uma decisão difícil, melhorar a vida de seu filho mudando-se para outro país ou ficar no Irã e cuidar de um pai que se deteriora e com Alzheimer.",casal confront decisa dificil melhor vid filh mudandos outr pal fic ira cuid pai deteri alzheim,Cluster 1
O Sol é para Todos,1962,8.3,Drama,"Atticus Finch, um advogado no sul da era da Depressão, defende um homem negro contra uma acusação de estupro imerecida, e seus filhos contra o preconceito.",atticu finch advog sul depressa defend hom negr contr acusaca estupr imerec filh contr preconceit,Cluster 1
Duro de Matar,1988,8.2,"Ação, Suspense","John McClane, agente do departamento de polícia de Nova York, tenta salvar sua esposa, Holly Gennaro, e outras pessoas que o terrorista alemão Hans Gruber tomou como reféns durante a festa de Natal no Nakatomi Plaza, em Los Angeles.",john mcclan agent departament polic nov york tent salv esp holly gennar outr pesso terror alema ham grub tom ref dur fest natal nakatom plaz lo angel,Cluster 0
Indiana Jones e a Última Cruzada,1989,8.2,"Ação, Aventura","Em 1938, depois que seu pai, o professor Henry Jones, desaparece enquanto persegue o Santo Graal, o professor Henry ""Indiana"" Jones, Jr. se encontra contra os nazistas de Adolf Hitler.",1938 pai profes henry jon desaparec enquant perseg sant graal profes henry indi jon jr encontr contr nazist adolf hitl,Cluster 0
Golpe de Mestre,1973,8.2,"Comédia, Drama",Dois golpistas se reúnem para obter o melhor golpe.,doi golp reun obt melhor golp,Cluster 1
Laranja Mecânica,1971,8.2,Ficção científica,"No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.",futur jov lid gang lev prisa decid voluntari exper result nao sao esper,Cluster 0
Metrópolis,1927,8.3,"Drama, Ficção científica","Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.",cidad futuris divid trabalh planej filh mai planej apaix trabalh,Cluster 1
Snatch - Porcos e Diamantes,2000,8.2,Comédia,"Um ladrão amante dos jogos reúne gângsteres desprezíveis, um grupo de nômades irlandeses e uma fazenda de porcos em meio a chantagens, fraudes, boxeadores, um cão faminto e um grande diamante.",ladra am jog reun gangst desprezi grup nomad irlandes fazend porc mei chantag fraud boxe cao famint grand diam,Cluster 1
Oppenheimer,2023,8.3,"Biografia, Drama, História",A história do cientista americano J. Robert Oppenheimer e seu papel no desenvolvimento da bomba atômica.,hist cient americ j robert oppenheim papel desenvolv bomb atom,Cluster 4
1917,2019,8.2,"Ação, Drama, Guerra","Na Primeira Guerra Mundial, dois soldados britânicos recebem ordens aparentemente impossíveis de cumprir. Em uma corrida contra o tempo, eles precisam atravessar o território inimigo e entregar uma mensagem que pode salvar 1.600 homens.",prim guerr mund doi sold britan receb ord aparent impossi cumpr corr contr temp precis atravess territori inimig entreg mens pod salv 1600 hom,Cluster 3
Los Angeles: Cidade Proibida,1997,8.2,"Drama, Mistério",A corrupção cresce em Los Angeles nos anos 50. Três policiais estão investigando uma série de assassinatos com sua própria marca de justiça.,corrupca cresc lo angel ano 50 tre polic esta investig seri assassinat propr marc jus,Cluster 1
A Queda! As Últimas Horas de Hitler,2004,8.2,"Biografia, Drama, Guerra, História",O último secretário de Hitler relata seus últimos dias em seu bunker de Berlim no final da Segunda Guerra Mundial.,ult secretari hitl relat ult dia bunk berlim final segund guerr mund,Cluster 3
Ladrões de Bicicletas,1948,8.2,Drama,Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.,ital posguerr biciclet hom cl trabalh roub filh part encontral,Cluster 1
Dangal,2016,8.3,"Ação, Biografia, Drama",O lutador Mahavir e suas filhas lutadoras procuram a gloria contra a opressão social nos jogos do Commonwealth.,lut mahav filh lut procur glor contr opressa soc jog commonwealth,Cluster 4
O Lobo de Wall Street,2013,8.2,"Biografia, Comédia, Drama","Baseada na verdadeira história de Jordan Belfort, desde sua ascensão como corretor de valores até a sua queda e envolvimento no crime e corrupção com o governo.",base verd hist jordan belfort desd ascensa corre val ate qued envolv crim corrupca govern,Cluster 4
Hababam Sinifi Sinifta Kaldi,1975,8.6,Comédia,A young and beautiful female teacher starts working in an all boys high school.,young and beautiful femal teach start working in an all boy high school,Cluster 1
Green Book: O Guia,2018,8.2,"Biografia, Comédia, Drama",Um valentão ítalo-americano se torna o motorista de um pianista afro-americano em um tour no sul dos Estados Unidos nos anos sessenta.,valenta italoameric torn motor pian afroameric tour sul est unid ano sessent,Cluster 4
O Show de Truman: O Show da Vida,1998,8.2,"Comédia, Drama",Um vendedor de seguros descobre que sua vida é um programa de televisão.,vend segur descobr vid program televisa,Cluster 1
Hamilton,2020,8.3,"Biografia, Drama, História, Musical","A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.",vid mai fund prim secretari tesour amer alexand hamilton,Cluster 4
Taxi Driver: Motorista de Táxi,1976,8.2,Drama,"Um veterano de guerra mentalmente instável trabalha à noite como taxista na cidade de Nova York, onde a decadência e o desprezo alimentam seu desejo de ação violenta.",veter guerr ment insta trabalh noit taxist cidad nov york ond decadenc desprez aliment desej aca violent,Cluster 1
Batman Begins,2005,8.2,"Ação, Drama, Suspense","Após testemunhar a morte dos pais, o bilionário Bruce Wayne aprende a arte de lutar para confrontar a injustiça. Quando ele retorna a Gotham como Batman, ele deve deter uma sociedade secreta que pretende destruir a cidade.",apo testemunh mort pal bilionari bruc wayn aprend art lut confront injus retorn goth batman dev det sociedad secret pretend destru cidad,Cluster 2
Por uns Dólares a Mais,1965,8.2,Drama,Dois caçadores de recompensas com as mesmas intenções se reúnem para encontrar um criminoso ocidental.,doi cac recompens mesm intenco reun encontr crimin ocident,Cluster 1
Julgamento em Nuremberg,1961,8.3,"Drama, Guerra, História","Em 1948, um tribunal dos Estados Unidos na Alemanha ocupada julga quatro nazistas por crimes de guerra.",1948 tribun est unid alemanh ocup julg quatr nazist crim guerr,Cluster 3
Ilha do Medo,2010,8.2,"Drama, Mistério, Suspense","Em 1954, um policial federal dos Estados Unidos investiga o desaparecimento de um assassino que escapou de um hospital psiquiátrico.",1954 polic feder est unid investig desaparec assassin escap hospit psiquiatr,Cluster 2
Quanto Mais Quente Melhor,1959,8.2,"Comédia, Romance","Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.",music son testig un crimen y dan la fug disfraz muj en una band femenin per la cos complican,Cluster 1
Jurassic Park: O Parque dos Dinossauros,1993,8.2,"Ação, Aventura, Ficção científica, Suspense","Um milionário traz à vida dinossauros extintos há milhares de anos, criando um imenso parque. Mas os gigantes pré-históricos começam a ameaçar a vida dos visitantes.",milionari traz vid dinossaur extint ha milh ano cri imens parqu gigant prehistor comec ameac vid visit,Cluster 0
O Garoto,1921,8.2,"Comédia, Drama, Família","Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.",mendig cuid crianc abandon event ameac relacion,Cluster 1
Meu Pai,2020,8.2,"Drama, Mistério","Um homem recusa toda a ajuda de sua filha à medida que envelhece. Enquanto ele tenta entender o que está acontecendo ao seu redor, ele começa a duvidar dos seus entes queridos, da sua mente e até mesmo da estrutura de sua realidade.",hom recus tod ajud filh med envelhec enquant tent entend acontec redor comec duvid ent quer ment ate estrut real,Cluster 1
A Malvada,1950,8.2,Drama,"Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.",ingenu insinu vid atriz teatr circul amig teatr,Cluster 1
Sangue Negro,2007,8.2,Drama,"Uma história sobre familia, religião, ódio e loucura, centrada na vida de um explorador de petróleo nos primeiros anos do negócio.",hist sobr famil religia odi louc centr vid explor petrole prim ano negoci,Cluster 1
O Sexto Sentido,1999,8.2,"Drama, Mistério, Suspense",Um menino que consegue se comunicar com espíritos encontra ajuda de um psicólogo.,menin conseg comunic espirit encontr ajud psicolog,Cluster 2
Ran,1985,8.2,"Ação, Drama, Guerra","No Japão medieval, um senhor feudal decide abdicar e entregar seus domínios aos seus três filhos. Mas ele não é capaz de ver que esses novos poderes irão corrompê-los e levá-los a enfrentar um ao outro, e contra ele.",japa mediev senh feud decid abdic entreg domini tre filh nao capaz ver nov pod ira corrompel leval enfrent outr contr,Cluster 3
Cassino,1995,8.2,Drama,"Uma história de ganância, dinheiro e assassinato acontece entre dois melhores amigos: um mafioso e um executivo de cassino, que competem uns com os outros por um império de jogo e pelo amor de uma socialite.",hist gananc dinh assassinat acontec doi melhor amig mafi execu cassin compet um outr imperi jog am socialit,Cluster 1
Top Gun: Maverick,2022,8.2,"Ação, Drama","Após mais de trinta anos de serviço como um dos melhores aviadores da Marinha, Pete Mitchell está onde pertence, ultrapassando os limites como um piloto de teste intrépido e evitando a promoção de posto que o manteria em terra.",apo trint ano serv melhor avi mar pet mitchell ond pertenc ultrapass limit pilot test intrep evit promoca post mant terr,Cluster 1
Onde os Fracos Não Têm Vez,2007,8.2,"Drama, Suspense",Violência e caos surgem quando um caçador se depara com uma negociação de drogas que deu errado e mais de dois milhões de dólares perto do Rio Grande.,violenc cao surg cac dep negociaca drog deu err doi milho dol pert rio grand,Cluster 2
O Enigma de Outro Mundo,1982,8.2,"Ficção científica, Mistério",Uma equipe de pesquisa na Antártica é caçada por um alienígena que muda de forma e assume a aparência de suas vítimas.,equip pesquis antar cac alienigen mud form assum aparenc vit,Cluster 0
Os Imperdoáveis,1992,8.2,Drama,"O atirador do Velho Oeste, William Munny, relutantemente aceita um último trabalho com a ajuda de seu antigo amigo e um jovem.",atir velh oest will munny relut aceit ult trabalh ajud antig amig jov,Cluster 1
O Labirinto do Fauno,2006,8.2,"Drama, Fantasia, Guerra","Na Espanha de 1944, a filha dum oficial do exército escapa a um mundo de fantasia.",espanh 1944 filh dum ofic exercit escap mund fantas,Cluster 3
Kill Bill: Volume 1,2003,8.2,"Ação, Suspense","Depois de despertar de um coma de quatro anos, uma antiga assassina busca vingança contra o grupo de assassinos que a traiu.",despert com quatr ano antig assassin busc vinganc contr grup assassin tra,Cluster 0
Uma Mente Brilhante,2001,8.2,"Biografia, Drama, Mistério",A vida do brilhante mas insociável matemático John Nash muda quando ele aceita um trabalho secreto em criptografia.,vid brilh insocia matema john nash mud aceit trabalh secret criptograf,Cluster 4
Os Suspeitos,2013,8.2,"Drama, Mistério, Suspense","Quando a filha de Keller Dover e sua amiguinha desaparecem, ele decide investigar o caso por sua conta enquanto a polícia segue múltiplas pistas e a pressão para resolver o caso aumenta.",filh kell dov amig desaparec decid investig cas cont enquant polic seg multipl pist pressa resolv cas aument,Cluster 2
O Tesouro da Sierra Madre,1948,8.2,"Aventura, Drama",Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.,doi americ busc trabalh mexic convenc hom ajudal extra our montanh serr madr,Cluster 1
Procurando Nemo,2003,8.2,"Animação, Aventura, Comédia, Família","Quando seu filho é capturado, um peixe-palhaço tímido embarca em uma viagem para trazê-lo para casa.",filh captur peixepalhac tim embarc viag trazel cas,Cluster 5
"Yojimbo, o Guarda-Costas",1961,8.2,"Ação, Drama, Suspense",Um astuto ronin chega a uma cidade dividida por duas quadrilhas criminosas e decide se confrontar para libertar a cidade.,astut ronin cheg cidad divid dua quadrilh crimin decid confront libert cidad,Cluster 2
O Castelo Animado,2004,8.2,"Animação, Aventura, Família, Fantasia",Uma jovem sem autoconfiança é amaldiçoada com um corpo envelhecido por uma bruxa odiosa. Sua única chance de quebrar o feitiço é um jovem feiticeiro em um castelo itinerante.,jov autoconfianc amaldico corp envelhec brux odi unic chanc quebr fei jov feitic castel itiner,Cluster 5
O Melhor da Juventude,2003,8.4,"Drama, Romance","Um épico italiano que segue a vida de dois irmãos, das décadas de 1960 a 2000.",epic itali seg vid doi irma dec 1960 2000,Cluster 1
Fugindo do Inferno,1963,8.2,"Aventura, Drama, Guerra, Suspense",Prisioneiros de guerra aliados planejam uma fuga maciça de um campo alemão durante a Segunda Guerra Mundial.,prision guerr ali planej fug macic camp alema dur segund guerr mund,Cluster 3
Monty Python em Busca do Cálice Sagrado,1975,8.2,"Aventura, Comédia, Fantasia","O Rei Arthur e seus Cavaleiros da Távola Redonda embarcam em uma busca surrealista e de baixo orçamento pelo Santo Graal, encontrando múltiplos obstáculos estúpidos.",rei arthur caval tavol redond embarc busc surre baix orc sant graal encontr multipl obstacul estup,Cluster 5
O Homem Elefante,1980,8.2,"Biografia, Drama","Um cirurgião vitoriano resgata um homem gravemente desfigurado que é maltratado enquanto tenta sobreviver como uma atração de circo. Por trás de sua aparência monstruosa, revela-se uma pessoa de bondade, inteligência e sofisticação.",cirurgia vitori resgat hom grav desfigur maltrat enquant tent sobreviv atraca circ tra aparenc monstr revelas pesso bondad inteligenc sofisticaca,Cluster 4
Klaus,2019,8.2,"Animação, Aventura, Comédia, Família, Fantasia","Um simples ato de bondade sempre provoca outro, mesmo em um lugar gelado e distante. Quando o novo carteiro de Smeerensburg faz amizade com o fabricante de brinquedos Klaus, seus presentes derreteram uma antiga inimizade.",simpl ato bondad sempr provoc outr lug gel dist nov cart smeerensburg faz amizad fabric brinqued klau pres derret antig inimizad,Cluster 5
Disque M para Matar,1954,8.2,"Drama, Mistério, Suspense","Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.",exten decid mat esp herd dinh ving cas hav tid fim livr culp usa antig coleg faculdad cois nao vao corr plane,Cluster 2
...E o Vento Levou,1939,8.2,"Drama, Guerra, Romance",Uma jovem sulista e manipuladora e um aventureiro oportunista se enfrentam em um romance turbulento enquanto a sociedade ao seu redor desmorona com o fim da escravidão e é reconstruída durante os períodos da Guerra Civil e da Reconstrução.,jov sulist manipul aventur oportun enfrent romanc turbulent enquant sociedad redor desm fim escravida reconstru dur period guerr civil reconstruca,Cluster 3
O Segredo dos Seus Olhos,2009,8.2,Drama,"Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.",assessor jurid aposent escrev romanc esperanc fech antig cas homicidi permanec soluca super am nao correspond sent chef dec ambas memor continu perseguil,Cluster 1
Chinatown,1974,8.1,"Drama, Mistério, Suspense","Um detetive particular contratado para desmascarar um adúltero é pego em uma teia de fraude, corrupção e assassinato.",detetiv particul contrat desmascar adulter peg tei fraud corrupca assassinat,Cluster 2
"Jogos, Trapaças e Dois Canos Fumegantes",1998,8.1,Comédia,"Um jogo de cartas em Londres desencadeia um confronto entre quatro amigos, plantadores de maconha, agiotas e cobradores de dívidas em uma série de eventos curiosos, tudo por algo de maria, dinheiro e duas pistolas antigas.",jog cart londr desencade confront quatr amig plant maconh agiot cobr div seri event curi tud alg mar dinh dua pistol antig,Cluster 1
V de Vingança,2005,8.1,"Ação, Drama, Ficção científica, Suspense","Em um futuro da tirania britânica, um lutador clandestino conhecido como V trama um plano para derrubá-la com a ajuda de uma jovem mulher.",futur tiran britan lut clandestin conhec v tram plan derrubal ajud jov mulh,Cluster 2
Rashomon,1950,8.1,"Drama, Mistério","A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.",violaca noiv assassinat marid samur sao lembr desd perspec band noiv fantasm samur lenh,Cluster 1
Divertida Mente,2015,8.1,"Animação, Aventura, Comédia, Drama, Família","Depois que a jovem Riley é arrancada de sua vida no Centro-Oeste e se muda para São Francisco, suas emoções - Alegria, Medo, Raiva, Nojinho e Tristeza - entram em conflito sobre a melhor forma de navegar em uma nova cidade, casa e escola.",jov riley arranc vid centroo mud sao francisc emoco alegr med raiv noj trist entr conflit sobr melhor form naveg nov cidad cas escol,Cluster 5
Três Anúncios para um Crime,2017,8.1,"Comédia, Drama",Uma mãe desafia pessoalmente as autoridades locais para resolver o assassinato de sua filha.,mae desaf pessoal autoridad local resolv assassinat filh,Cluster 1
Prenda-Me se for Capaz,2002,8.1,"Biografia, Drama","Um agente do FBI persegue Frank Abagnale, que antes de seus 19 anos consegue ganhar milhões de dólares fingindo ser um piloto, um médico e um advogado.",agent fbi perseg frank abagnal ant 19 ano conseg ganh milho dol fing pilot medic advog,Cluster 4
Trainspotting: Sem Limites,1996,8.1,Drama,"Renton, profundamente imerso no mundo das drogas em Edimburgo, tenta sair do ambiente apesar da má influência dos amigos.",renton profund imers mund drog edimburg tent sair ambi apes ma influenc amig,Cluster 1
A Ponte do Rio Kwai,1957,8.1,"Aventura, Drama, Guerra","Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.",resolv diferenc japon comand camp coronel britan coop supervis construca pont ferrovi,Cluster 3
Touro Indomável,1980,8.1,"Biografia, Drama","A vida do boxeador Jake LaMotta, cuja violência e temperamento que o levaram até o topo dos ringues destruíram a sua vida fora deles.",vid boxe jak lamott cuj violenc temper lev ate top ring destru vid,Cluster 4
Harry Potter e as Relíquias da Morte - Parte 2,2011,8.1,"Aventura, Família, Fantasia, Mistério","Conforme a batalha entre as forças do bem e do mal no mundo bruxo aumenta de proporções, Harry Potter se aproxima cada vez mais do confronto final com Voldemort.",conform batalh forc bem mal mund brux aument proporco harry pott aprox cad vez confront final voldemort,Cluster 5
Fargo: Uma Comédia de Erros,1996,8.1,"Drama, Suspense",O crime de Jerry Lundegaard se desfaz devido à falta de sorte dele e de seus colegas e ao persistente trabalho polícia.,crim jerry lundegaard desfaz dev falt sort coleg persist trabalh polic,Cluster 2
Robô Selvagem,2024,8.2,"Animação, Aventura, Família, Ficção científica","Após um naufrágio, um robô inteligente chamado Roz fica preso em uma ilha desabitada. Para sobreviver ao ambiente hostil, Roz se une aos animais da ilha e cuida de um ganso bebê órfão.",apo naufragi rob intelig cham roz fic pres ilh desabit sobreviv ambi hostil roz une animal ilh cuid gans beb orfa,Cluster 5
Guerreiro,2011,8.1,"Ação, Drama","O filho pequeno de um exboxer alcoólatra volta para casa, onde seu pai o treina para um torneio de artes marciais mistas.",filh pequen exbox alcoolatr volt cas ond pai trein tornei art marc mist,Cluster 1
Sociedade dos Poetas Mortos,1989,8.1,"Comédia, Drama",O professor de Inglés John Keating inspira a seus estudantes a ver a poesia duma perspectiva diferente.,profes ingl john keating insp estud ver poes dum perspec difer,Cluster 1
Menina de Ouro,2004,8.1,Drama,Uma mulher determinada se prepara para se tornar numa pugilista profissional.,mulh determin prepar torn pugil profiss,Cluster 1
Gran Torino,2008,8.1,Drama,"Walt Kowalski, um ranzinza veterano da guerra da Coreia, tenta dar uma lição em seu vizinho quando este tentar roubar seu bem mais precioso: um Gran Torino de 1972.",walt kowalsk ranzinz veter guerr core tent dar lica vi tent roub bem precios gran torin 1972,Cluster 1
Ben-Hur,1959,8.1,"Aventura, Drama","Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.",princip jerusal tra envi escravida amig roman recup liberdad retorn ving,Cluster 1
Mad Max: Estrada da Fúria,2015,8.1,"Ação, Aventura","Em um mundo pós-apocalíptico, uma mulher se rebela contra um governante tirânico em busca de sua terra natal com a ajuda de um grupo de prisioneiras, um adorador psicótico e um nômade chamado Max.",mund posapocalip mulh rebel contr govern tiran busc terr natal ajud grup prision ador psico nomad cham max,Cluster 0
Barry Lyndon,1975,8.1,Aventura,Um irlandês conquista o coração de uma viúva rica e assume a posição aristocrática de seu falecido marido na Inglaterra do século XVIII.,irland conqu coraca viuv ric assum posica aristocra falec marid inglaterr secul xvii,Cluster 0
Meu Amigo Totoro,1988,8.1,"Animação, Aventura, Comédia, Família, Fantasia","Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.",dua menin mud camp fic pert mae doent avent maravilh espirit florest mor proxim,Cluster 5
Filhos do Paraíso,1997,8.2,"Drama, Família","Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.",crianc perd par sapat irm embarc seri avent encontral nao conseg tent nov man procural,Cluster 1
Até o Último Homem,2016,8.1,"Biografia, Drama, Guerra, História","O médico amaericano da Segunda Guerra Mundial, Desmond T. Doss, se recusa a matar pessoas e se torna o primeiro homem na história dos Estados Unidos a receber a Medalha de Honra sem atirar um tiro.",medic amaeric segund guerr mund desmond t dos recus mat pesso torn prim hom hist est unid receb medalh honr atir tir,Cluster 3
O Grande Hotel Budapeste,2014,8.1,"Comédia, Drama","As aventuras de Gustave H, um lendário porteiro dum famoso hotel da ficcional República de Zubrowka entre a primeira y a segunda guerra mundial.",avent gustav h lendari port dum fam hotel ficc republ zubrowk prim y segund guerr mund,Cluster 1
12 Anos de Escravidão,2013,8.1,"Biografia, Drama, História","Solomon Northup, um homem preto livre de Nova Iorque, é raptado e vendido como escravo.",solomon northup hom pret livr nov iorqu rapt vend escrav,Cluster 4
Antes do Amanhecer,1995,8.1,"Comédia, Drama, Romance",Um jovem e uma mulher se conhecem num trem em Europa é passam uma noite juntos em Viena.,jov mulh conhec tr europ pass noit junt vien,Cluster 1
Homem-Aranha: Sem Volta para Casa,2021,8.2,"Ação, Aventura, Fantasia, Ficção científica","Com a identidade de Homem-Aranha revelada, Peter Parker pede ajuda ao Doutor Estranho. Quando um feitiço dá errado, inimigos de outros mundos começam a aparecer, forçando Peter a descobrir o que realmente significa ser o Homem-Aranha.",ident homemaranh revel pet park ped ajud dou estranh fei err inimig outr mund comec aparec forc pet descobr real signif homemaranh,Cluster 0
Blade Runner: O Caçador de Andróides,1982,8.1,"Ação, Drama, Ficção científica, Suspense",Um blade runner deve perseguir e eliminar quatro replicantes que roubaram uma nave no espaço e retornaram à Terra para encontrar seu criador.,blad runn dev persegu elimin quatr replic roub nav espac retorn terr encontr cri,Cluster 2
Memórias de um Assassino,2003,8.1,"Drama, Mistério, Suspense","Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.",pequen provinc core 1986 tre detetiv esta procur culp seri estupr assassinat mulh jov,Cluster 2
Garota Exemplar,2014,8.1,"Drama, Mistério, Suspense","Desde que o desaparecimento de sua esposa se tornou o foco de um intenso circo da mídia, um homem vê como esta se concentra nele quando suspeitam que pode não ser inocente.",desd desaparec esp torn foc intens circ mid hom ve concentr nel suspeit pod nao inoc,Cluster 2
Ratatouille,2007,8.1,"Animação, Aventura, Comédia, Família, Fantasia",Um rato que pode cozinhar forja uma aliança incomum com um jovem garoto em um famoso restaurante em Paris.,rat pod cozinh forj alianc incomum jov garot fam restaurant paril,Cluster 5
Como Treinar o Seu Dragão,2010,8.1,"Ação, Animação, Aventura, Família, Fantasia","Um jovem e desafortunado viking que aspira a caçar dragões se torna o improvável amigo de um jovem dragão, e descobre que pode haver mais nas criaturas do que ele supunha.",jov desafortun viking asp cac drago torn improva amig jov draga descobr pod criat supunh,Cluster 5
Monstros S.A.,2001,8.1,"Animação, Aventura, Comédia, Família","Para poder dar electricidade a sua cidade, os monstros tem que assustar a crianças. Pensando que as crianças são perigosas para eles, dois monstros acham que as coisas podem ser diferentes.",pod dar electric cidad monstr assust crianc pens crianc sao perig doi monstr ach cois pod difer,Cluster 5
Tubarão,1975,8.1,"Aventura, Suspense","Quando um tubarão desencadea caos numa praia, um xerife, um biologista e um marinheiro daram caça ao animal.",tubara desencade cao prai xerif biolog marinh dar cac animal,Cluster 0
Em Nome do Pai,1993,8.1,"Biografia, Drama","Em 1974, uma explosão a bomba acontece em Guilford, próximo de Londres. Gerry Conlon e amigos são acusados pelo crime e presos. Giuseppe Conlon, pai de Gerry, pede ajuda à advogada Gareth Peirce, que investiga as irregularidades do caso.",1974 explosa bomb acontec guilford prox londr gerry conlon amig sao acus crim pres giusepp conlon pai gerry ped ajud advog gareth peirc investig irregular cas,Cluster 4
Relatos Selvagens,2014,8.1,"Comédia, Drama, Suspense",Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.,sie hist curt explor comport human pesso desesper,Cluster 2
Em Busca do Ouro,1925,8.1,"Aventura, Comédia, Drama, Romance",Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.,garimp vai klondik busc our encontr,Cluster 1
Ford vs. Ferrari,2019,8.1,"Ação, Biografia, Drama","Um designer de carros e um motorista combatem a interferência corporativa, as leis da física e seus próprios demônios pessoais para construir um carro de corrida revolucionário para a Ford e desafiar a Ferrari nas 24 Horas de Le Mans em 1966.",design carr motor combat interferenc corpor lei fisic propri demoni pessoal constru carr corr revolucionari ford desafi ferrar 24 hor le mam 1966,Cluster 4
Bancando o Águia,1924,8.1,"Ação, Comédia, Romance",Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.,proje cinem desej detetiv coloc magr habil pra rival incrimin roub relogi bols pai namor,Cluster 0
Mary e Max - Uma Amizade Diferente,2009,8.1,"Animação, Comédia, Drama","Relata a estranha história de uma amizade entre dois amigos por correspondência: Mary, uma garota solitária de oito anos que vive nos subúrbios de Melbourne, e Max, um homem obeso de quarenta e quatro anos que vive em Nova York.",relat estranh hist amizad doi amig correspondenc mary garot solit oit ano viv suburbi melbourn max hom obes quarent quatr ano viv nov york,Cluster 1
O Franco Atirador,1978,8.1,"Drama, Guerra",Um retrato detalhado das maneiras pelas quais a Guerra do Vietnã interrompeu a vida dos habitantes de uma pequena cidade industrial na Pensilvânia.,retrat detalh man qual guerr vietn interromp vid habit pequen cidad industr pensilvan,Cluster 3
O Salário do Medo,1953,8.1,"Aventura, Drama, Suspense","Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.",alde amer sul quatr hom sao contrat transport remess urgent nitroglicerin equip seguranc,Cluster 2
